                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4358,                 1.5534,                 1.0955,                0.59158,                0.31783,                0.33007,                0.18419,                 1.3857,                0.96943,                 1.0267,                0.07013,              0.0033188,              0.0033188
                      1,                 1.3782,                   1.02,                 1.0451,                0.58342,                0.34858,                0.36481,                0.19902,                 1.3785,                0.93268,                   1.03,               0.040098,              0.0066192,              0.0066192
                      2,                 1.4153,                 1.0309,                  1.063,                0.46148,                0.30602,                0.30944,                0.15955,                 1.4521,                 1.0643,                 1.0645,               0.010032,              0.0098867,              0.0098867
                      3,                 1.4406,                 1.0583,                 1.0716,                0.43038,                0.29125,                0.30234,                0.15898,                 1.4428,                 1.0342,                 1.0676,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4402,                 1.0323,                 1.0749,                0.41744,                   0.29,                0.29311,                0.15193,                 1.4727,                 1.0519,                 1.0705,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4259,                 1.0049,                  1.067,                0.45263,                0.33228,                0.32917,                 0.1712,                 1.4581,                 0.9919,                 1.0635,               0.009802,               0.009802,               0.009802
                      6,                 1.4157,                0.98674,                 1.0635,                0.44841,                0.33096,                0.34168,                0.17873,                 1.4417,                0.95704,                 1.0563,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4051,                 0.9691,                 1.0596,                0.47355,                0.31463,                0.33603,                0.17384,                 1.4192,                0.96042,                 1.0529,               0.009703,               0.009703,               0.009703
                      8,                 1.4033,                0.95882,                 1.0546,                0.44642,                0.34749,                0.34762,                0.18522,                  1.421,                0.94351,                 1.0512,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3937,                0.95385,                 1.0554,                0.45736,                0.34573,                0.34787,                0.18625,                 1.4055,                0.93569,                 1.0513,               0.009604,               0.009604,               0.009604
                     10,                 1.3963,                 0.9546,                 1.0579,                0.45876,                0.35023,                0.34995,                 0.1872,                 1.4053,                0.93583,                 1.0543,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3727,                0.93007,                 1.0472,                0.47323,                0.34237,                0.36109,                0.18341,                 1.4428,                0.94634,                  1.054,               0.009505,               0.009505,               0.009505
                     12,                 1.3704,                0.92271,                 1.0445,                0.55424,                0.34391,                0.35511,                0.18855,                 1.4123,                0.93283,                 1.0421,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.364,                0.91165,                 1.0398,                0.47384,                 0.3384,                 0.3486,                 0.1853,                  1.399,                0.93343,                 1.0421,               0.009406,               0.009406,               0.009406
                     14,                  1.363,                0.90984,                 1.0411,                0.57125,                0.36013,                0.36399,                0.19537,                 1.4009,                0.90139,                 1.0431,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3596,                0.90432,                 1.0384,                0.47631,                0.35443,                0.35651,                0.19044,                 1.3982,                0.90627,                 1.0441,               0.009307,               0.009307,               0.009307
                     16,                 1.3572,                0.90123,                 1.0373,                0.58793,                0.38618,                0.39103,                0.20744,                 1.3974,                0.89952,                 1.0401,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3493,                0.89793,                 1.0357,                 0.5578,                0.35813,                0.36366,                0.19393,                 1.3901,                0.89441,                 1.0362,               0.009208,               0.009208,               0.009208
                     18,                 1.3396,                0.88131,                 1.0324,                0.44889,                0.39117,                0.39042,                  0.208,                 1.3885,                 0.8815,                 1.0357,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3405,                0.87424,                 1.0268,                0.60235,                0.35982,                 0.3754,                0.19983,                 1.4037,                0.88461,                 1.0385,               0.009109,               0.009109,               0.009109
                     20,                 1.3379,                0.87228,                  1.029,                0.59384,                0.36592,                0.37983,                0.20069,                  1.383,                 0.8857,                 1.0336,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3312,                0.86581,                 1.0264,                0.59656,                 0.3705,                0.38949,                0.20521,                 1.3866,                0.88415,                 1.0349,                0.00901,                0.00901,                0.00901
                     22,                 1.3334,                0.85881,                 1.0266,                0.63281,                0.35463,                0.39234,                0.20865,                 1.3666,                0.87316,                 1.0326,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3243,                0.85421,                 1.0259,                0.60599,                0.37741,                0.39237,                0.20549,                 1.3748,                0.86204,                 1.0265,               0.008911,               0.008911,               0.008911
                     24,                 1.3189,                0.84939,                 1.0202,                0.63803,                 0.3574,                0.38795,                0.20211,                 1.3744,                0.87422,                 1.0296,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3152,                 0.8473,                  1.018,                0.60971,                0.37545,                0.39555,                0.21335,                 1.3691,                 0.8612,                 1.0339,               0.008812,               0.008812,               0.008812
                     26,                 1.3092,                0.83771,                 1.0166,                0.62278,                0.37675,                0.40365,                0.21588,                 1.3582,                0.86108,                 1.0255,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3054,                0.82937,                 1.0133,                0.62455,                0.37978,                0.40339,                0.21625,                 1.3655,                0.85554,                 1.0305,               0.008713,               0.008713,               0.008713
