                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2777,                 0.7853,                 1.0057,                0.65528,                0.39736,                0.43157,                0.23332,                 1.3261,                0.81223,                 1.0137,                0.07013,              0.0033188,              0.0033188
                      1,                 1.2658,                 0.7724,                0.99873,                0.64712,                0.38785,                0.42425,                0.22608,                 1.3344,                 0.8268,                 1.0133,               0.040092,              0.0066139,              0.0066139
                      2,                 1.2814,                0.79007,                 1.0069,                0.62018,                0.36688,                0.40219,                0.21787,                  1.349,                 0.8538,                 1.0216,               0.010015,              0.0098706,              0.0098706
                      3,                 1.3018,                0.83048,                 1.0143,                0.56792,                0.38323,                0.38126,                0.20224,                 1.3761,                0.87723,                 1.0258,              0.0098273,              0.0098273,              0.0098273
                      4,                 1.3065,                0.83454,                 1.0156,                0.58791,                0.36955,                0.39156,                0.20911,                 1.3749,                0.87537,                 1.0323,              0.0098273,              0.0098273,              0.0098273
                      5,                 1.3022,                0.82508,                 1.0129,                0.61761,                0.38462,                0.39925,                0.21275,                 1.3889,                0.87752,                 1.0342,              0.0097698,              0.0097698,              0.0097698
                      6,                 1.3011,                0.82331,                 1.0137,                0.59153,                0.36818,                0.38024,                0.20431,                 1.3835,                0.87412,                 1.0334,              0.0097122,              0.0097122,              0.0097122
                      7,                 1.2957,                0.81903,                 1.0109,                0.61027,                0.35018,                0.37067,                0.19597,                 1.3713,                 0.8803,                 1.0295,              0.0096547,              0.0096547,              0.0096547
                      8,                  1.301,                0.81817,                 1.0102,                0.61499,                0.36358,                0.39594,                0.21209,                 1.3639,                0.85675,                 1.0268,              0.0095971,              0.0095971,              0.0095971
                      9,                 1.2975,                0.82171,                 1.0109,                0.58676,                 0.3572,                0.37218,                    0.2,                 1.3685,                0.87629,                 1.0329,              0.0095395,              0.0095395,              0.0095395
                     10,                 1.3039,                0.82386,                 1.0178,                 0.5806,                0.38571,                0.39954,                0.21344,                 1.3509,                0.86904,                 1.0245,               0.009482,               0.009482,               0.009482
                     11,                 1.2841,                0.80968,                 1.0091,                0.60332,                0.38174,                 0.3992,                0.21221,                 1.3902,                0.87735,                 1.0341,              0.0094244,              0.0094244,              0.0094244
                     12,                 1.2893,                0.80314,                 1.0088,                0.64378,                0.35321,                0.39682,                0.21474,                 1.3639,                0.86061,                 1.0273,              0.0093669,              0.0093669,              0.0093669
                     13,                 1.2831,                0.79742,                 1.0049,                0.51213,                0.38706,                0.40717,                0.22168,                 1.3627,                0.84903,                  1.028,              0.0093093,              0.0093093,              0.0093093
                     14,                 1.2869,                0.80404,                 1.0058,                0.63511,                0.37864,                0.41517,                0.22418,                 1.3626,                0.84842,                 1.0235,              0.0092517,              0.0092517,              0.0092517
                     15,                 1.2853,                0.80088,                 1.0032,                0.55555,                0.37798,                0.40756,                0.21885,                 1.3643,                 0.8474,                 1.0251,              0.0091942,              0.0091942,              0.0091942
                     16,                 1.2842,                0.79983,                 1.0046,                  0.519,                0.37503,                0.40735,                0.21746,                 1.3672,                  0.857,                 1.0273,              0.0091366,              0.0091366,              0.0091366
                     17,                 1.2814,                0.79724,                 1.0042,                0.58324,                0.38446,                0.39349,                0.21405,                 1.3722,                0.85315,                 1.0267,              0.0090791,              0.0090791,              0.0090791
                     18,                 1.2714,                0.78714,                 1.0021,                0.59288,                0.40371,                0.41547,                0.22186,                 1.3669,                0.84173,                  1.024,              0.0090215,              0.0090215,              0.0090215
                     19,                 1.2745,                 0.7837,                0.99711,                0.60178,                0.40548,                0.41042,                0.22182,                 1.3845,                0.84641,                 1.0302,               0.008964,               0.008964,               0.008964
                     20,                 1.2732,                 0.7832,                 1.0001,                0.65543,                0.36814,                0.40573,                0.21793,                 1.3583,                0.85079,                 1.0206,              0.0089064,              0.0089064,              0.0089064
                     21,                  1.266,                0.77723,                0.99654,                0.60398,                0.37869,                0.39955,                0.21333,                 1.3635,                0.84104,                  1.024,              0.0088488,              0.0088488,              0.0088488
                     22,                 1.2669,                0.77368,                0.99523,                 0.6171,                0.39086,                0.40951,                0.21661,                 1.3541,                0.84351,                 1.0236,              0.0087913,              0.0087913,              0.0087913
                     23,                 1.2613,                0.77403,                0.99905,                0.58612,                0.39853,                0.41188,                0.21619,                 1.3639,                0.84458,                 1.0221,              0.0087337,              0.0087337,              0.0087337
                     24,                 1.2591,                0.77027,                0.99306,                0.52793,                0.39154,                 0.4144,                0.22106,                 1.3672,                0.84745,                 1.0277,              0.0086762,              0.0086762,              0.0086762
                     25,                 1.2553,                0.76896,                0.99078,                0.65856,                0.37014,                0.41289,                0.22201,                 1.3591,                0.83702,                 1.0213,              0.0086186,              0.0086186,              0.0086186
                     26,                 1.2515,                0.76364,                0.99084,                 0.5308,                0.39982,                0.41789,                0.22458,                 1.3422,                0.83331,                 1.0191,               0.008561,               0.008561,               0.008561
                     27,                 1.2501,                0.75933,                0.99045,                0.61389,                0.38692,                0.41573,                0.22667,                  1.354,                0.82728,                 1.0221,              0.0085035,              0.0085035,              0.0085035
