                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4675,                 1.4761,                 1.0955,                0.57439,                0.30517,                0.32136,                 0.1739,                 1.4041,                 1.0091,                 1.0244,                0.07013,              0.0033188,              0.0033188
                      1,                 1.4092,                 1.0689,                 1.0485,                0.57035,                0.28894,                0.31701,                0.17002,                 1.3969,                 1.0132,                  1.038,               0.040098,              0.0066192,              0.0066192
                      2,                 1.4524,                 1.0776,                 1.0684,                0.36351,                0.29794,                0.27333,                0.14326,                 1.4993,                 1.1107,                 1.0827,               0.010032,              0.0098867,              0.0098867
                      3,                 1.4813,                 1.1109,                 1.0828,                0.38361,                0.29036,                0.26434,                0.13547,                 1.4915,                 1.1189,                 1.0797,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4718,                 1.0784,                  1.081,                0.44723,                0.29515,                0.30961,                0.15985,                 1.4836,                 1.0703,                 1.0756,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4622,                 1.0478,                 1.0755,                0.48177,                0.28959,                0.30137,                0.15534,                 1.4803,                 1.0372,                 1.0784,               0.009802,               0.009802,               0.009802
                      6,                 1.4472,                 1.0361,                 1.0701,                0.38495,                 0.3047,                0.29703,                0.15141,                 1.4923,                 1.0292,                 1.0743,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4369,                 1.0141,                 1.0623,                 0.4008,                0.32963,                0.31575,                0.16523,                 1.4471,                 1.0036,                 1.0583,               0.009703,               0.009703,               0.009703
                      8,                 1.4408,                 1.0074,                 1.0612,                0.43363,                0.31206,                 0.3183,                0.16679,                 1.4412,                 1.0026,                 1.0536,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4225,                 0.9993,                 1.0557,                0.52836,                 0.3092,                0.31566,                0.16615,                 1.4336,                0.98176,                 1.0517,               0.009604,               0.009604,               0.009604
                     10,                 1.4268,                 1.0006,                 1.0622,                0.56218,                0.34242,                0.34833,                0.18281,                 1.4233,                0.96405,                 1.0539,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4014,                0.97158,                 1.0501,                 0.5785,                0.32391,                0.34457,                0.17957,                 1.4431,                0.98108,                 1.0505,               0.009505,               0.009505,               0.009505
