                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1812,                0.69993,                0.97118,                 0.6448,                0.40083,                0.43115,                0.22973,                 1.3383,                 0.8159,                  1.017,                0.07013,              0.0033188,              0.0033188
                      1,                 1.2634,                0.76522,                0.99628,                0.64922,                0.39036,                0.41986,                0.22546,                 1.3364,                0.82596,                 1.0104,               0.040073,              0.0065949,              0.0065949
                      2,                 1.2792,                 0.7861,                 1.0042,                0.60056,                0.38325,                0.39549,                0.21061,                 1.3598,                0.87572,                 1.0245,              0.0099585,              0.0098136,              0.0098136
                      3,                 1.2983,                0.82717,                 1.0119,                0.56516,                0.39175,                0.39228,                0.20558,                 1.3746,                 0.8741,                   1.03,              0.0097417,              0.0097417,              0.0097417
                      4,                 1.3049,                0.83102,                 1.0135,                0.60607,                0.37974,                0.40277,                0.21208,                   1.37,                 0.8668,                 1.0284,              0.0097417,              0.0097417,              0.0097417
                      5,                 1.3006,                0.82531,                  1.014,                0.61533,                0.37979,                0.40643,                0.21972,                 1.3842,                0.87217,                 1.0332,              0.0096557,              0.0096557,              0.0096557
                      6,                 1.2961,                0.81842,                 1.0111,                0.60292,                0.36981,                0.38432,                0.20025,                 1.3893,                  0.887,                 1.0368,              0.0095696,              0.0095696,              0.0095696
                      7,                 1.2931,                0.81588,                 1.0095,                0.58663,                0.36721,                0.38409,                0.20363,                 1.3656,                0.87019,                  1.027,              0.0094835,              0.0094835,              0.0094835
                      8,                 1.2989,                0.81557,                 1.0091,                0.60422,                0.38229,                 0.4022,                0.21716,                 1.3549,                0.85562,                 1.0279,              0.0093974,              0.0093974,              0.0093974
                      9,                 1.2945,                0.81735,                 1.0099,                 0.6069,                0.37752,                0.39346,                0.21591,                 1.3533,                0.85522,                 1.0231,              0.0093113,              0.0093113,              0.0093113
                     10,                 1.2979,                0.81981,                 1.0129,                0.56823,                0.39225,                0.39495,                0.21234,                 1.3759,                0.87359,                  1.039,              0.0092252,              0.0092252,              0.0092252
                     11,                 1.2814,                0.80501,                 1.0066,                  0.613,                0.37813,                0.40988,                0.21685,                 1.3694,                 0.8528,                  1.027,              0.0091391,              0.0091391,              0.0091391
                     12,                 1.2858,                0.79927,                 1.0074,                 0.6054,                0.38435,                 0.4014,                0.21815,                 1.3625,                0.85228,                 1.0327,               0.009053,               0.009053,               0.009053
                     13,                  1.282,                0.79607,                 1.0053,                0.61833,                 0.3761,                0.39798,                0.21294,                 1.3608,                0.85329,                 1.0273,               0.008967,               0.008967,               0.008967
                     14,                  1.283,                0.79941,                 1.0047,                0.62915,                0.39725,                0.41822,                0.22116,                 1.3645,                0.84497,                 1.0263,              0.0088809,              0.0088809,              0.0088809
                     15,                 1.2779,                0.79475,                 1.0005,                0.63255,                0.38076,                0.40986,                0.21989,                 1.3548,                0.84258,                 1.0214,              0.0087948,              0.0087948,              0.0087948
                     16,                 1.2779,                0.79408,                 1.0021,                0.52215,                0.40175,                0.41747,                0.21882,                 1.3693,                 0.8523,                 1.0246,              0.0087087,              0.0087087,              0.0087087
                     17,                 1.2717,                 0.7908,                 1.0014,                0.51936,                0.38746,                0.40771,                0.21813,                 1.3614,                0.84465,                 1.0258,              0.0086226,              0.0086226,              0.0086226
                     18,                 1.2664,                0.78086,                 1.0015,                0.62684,                0.40785,                0.42474,                0.22268,                  1.367,                0.83885,                 1.0231,              0.0085365,              0.0085365,              0.0085365
                     19,                 1.2664,                0.77358,                0.99366,                0.61958,                0.40502,                0.42723,                0.22587,                 1.3801,                0.83949,                 1.0272,              0.0084504,              0.0084504,              0.0084504
                     20,                 1.2662,                0.77599,                0.99773,                0.63811,                0.39144,                0.41905,                0.22159,                 1.3493,                0.83712,                 1.0186,              0.0083643,              0.0083643,              0.0083643
                     21,                 1.2589,                0.76961,                0.99364,                0.60969,                0.40983,                0.41824,                0.22434,                 1.3522,                0.83441,                 1.0239,              0.0082783,              0.0082783,              0.0082783
                     22,                 1.2619,                0.76807,                0.99455,                0.64764,                0.39574,                0.42637,                0.22591,                 1.3422,                0.83406,                 1.0201,              0.0081922,              0.0081922,              0.0081922
                     23,                 1.2538,                0.76439,                0.99628,                0.63634,                0.38716,                  0.405,                0.21678,                 1.3579,                0.82618,                 1.0166,              0.0081061,              0.0081061,              0.0081061
                     24,                 1.2507,                0.76087,                0.98915,                0.59225,                0.38293,                0.39918,                0.21476,                  1.355,                0.83703,                 1.0209,                0.00802,                0.00802,                0.00802
                     25,                 1.2456,                0.75734,                0.98784,                 0.6211,                0.38978,                0.41602,                0.22343,                  1.355,                0.83423,                 1.0248,              0.0079339,              0.0079339,              0.0079339
                     26,                  1.243,                0.75424,                0.98802,                0.60674,                0.37293,                0.39662,                0.21682,                 1.3523,                0.83602,                 1.0232,              0.0078478,              0.0078478,              0.0078478
                     27,                  1.242,                0.75135,                0.98786,                0.58746,                 0.4057,                0.41619,                0.22442,                   1.35,                0.82608,                 1.0218,              0.0077617,              0.0077617,              0.0077617
